Normalized,Location
odessa odessa,"Одеса, Одеська область"
kiev kiev,"Київ, Київська область"
kharkov kharkov,"Харків, Харківська область"
dnepr dnepr,"Дніпро, Дніпропетровська область"
kiev irpen,"Ірпінь, Київська область"
khmelnitskiy khmelnitskiy,"Хмельницький, Хмельницька область"
lvov lvov,"Львів, Львівська область"
zaporozhe zaporozhe,"Запоріжжя, Запорізька область"
kiev sofievskaya-borschagovka,"Софіївська Борщагівка, Київська область"
nikolaev_106 nikolaev_106,"Миколаїв, Миколаївська область"
dnepr krivoyrog,"Кривий Ріг, Дніпропетровська область"
poltava poltava,"Полтава, Полтавська область"
kiev bucha,"Буча, Київська область"
cherkassy cherkassy,"Черкаси, Черкаська область"
ivano-frankovsk ivano-frankovsk,"Івано-Франківськ, Івано-Франківська область"
rovno rovno_36849,"Рівне, Рівненська область"
vinnitsa vinnitsa,"Вінниця, Вінницька область"
sumy sumy,"Суми, Сумська область"
dnepr kamenskoe,"Кам'янське, Дніпропетровська область"
zhitomir zhitomir,"Житомир, Житомирська область"
ternopol ternopol,"Тернопіль, Тернопільська область"
chernovtsy chernovtsy,"Чернівці, Чернівецька область"
kiev belayatserkov,"Біла Церква, Київська область"
chernigov chernigov,"Чернігів, Чернігівська область"
poltava kremenchug,"Кременчук, Полтавська область"
kropivnitskiy kropivnitskiy,"Кропивницький, Кіровоградська область"
odessa ilichyevsk,"Чорноморськ, Одеська область"
uzhgorod uzhgorod,"Ужгород, Закарпатська область"
kiev vishnevoe,"Вишневе, Київська область"
kiev brovary,"Бровари, Київська область"
kiev borispol,"Бориспіль, Київська область"
kiev gostomel,"Гостомель, Київська область"
donetsk donetsk,"Донецьк, Донецька область"
lutsk lutsk,"Луцьк, Волинська область"
khmelnitskiy kamenets-podolskiy,"Кам'янець-Подільський, Хмельницька область"
kiev kryukovschina,"Крюківщина, Київська область"
dnepr novomoskovsk,"Новомосковськ, Дніпропетровська область"
lugansk lugansk,"Луганськ, Луганська область"
kiev petrovskoe_31957,"Святопетрівське, Київська область"
lvov chervonograd,"Червоноград, Львівська область"
kharkov chuguev,"Чугуїв, Харківська область"
kiev chabany,"Чабани, Київська область"
uzhgorod mukachevo,"Мукачеве, Закарпатська область"
kiev obukhov,"Обухів, Київська область"
lvov stryy,"Стрий, Львівська область"
cherkassy uman,"Умань, Черкаська область"
lvov truskavets,"Трускавець, Львівська область"
kiev vyshgorod,"Вишгород, Київська область"
kiev petropavlovskaya-borschagovka,"Петропавлівська Борщагівка, Київська область"
poltava gorishnyye plavni,"Горішні Плавні, Полтавська область"
dnepr pavlograd,"Павлоград, Дніпропетровська область"
donetsk slavyansk,"Слов'янськ, Донецька область"
kiev kotsyubinskoe,"Коцюбинське, Київська область"
lvov drogobych,"Дрогобич, Львівська область"
donetsk kramatorsk,"Краматорськ, Донецька область"
kiev vorzel,"Ворзель, Київська область"
odessa kryzhanovka_43791,"Крижанівка, Одеська область"
odessa belgorod-dnestrovskiy,"Білгород-Дністровський, Одеська область"
kiev gatnoe,"Гатне, Київська область"
cherkassy smela,"Сміла, Черкаська область"
nikolaev_106 pervomaysk,"Первомайськ, Миколаївська область"
kiev chayki_30943,"Чайки, Київська область"
zhitomir korosten,"Коростень, Житомирська область"
kiev belogorodka,"Білогородка, Київська область"
kiev boyarka,"Боярка, Київська область"
odessa avangard_44353,"Авангард, Одеська область"
kropivnitskiy aleksandriya,"Олександрія, Кіровоградська область"
odessa yuzhnoe,"Южне, Одеська область"
sumy konotop,"Конотоп, Сумська область"
odessa fontanka,"Фонтанка, Одеська область"
kharkov inzhenernyy,"Інженерний, Харківська область"
kiev vasilkov,"Васильків, Київська область"
ivano-frankovsk kalush,"Калуш, Івано-Франківська область"
kherson kherson,"Херсон, Херсонська область"
chernigov nezhin,"Ніжин, Чернігівська область"
kropivnitskiy svetlovodsk,"Світловодськ, Кіровоградська область"
zhitomir berdichev,"Бердичів, Житомирська область"
ivano-frankovsk kolomyya,"Коломия, Івано-Франківська область"
odessa izmail,"Ізмаїл, Одеська область"
chernigov priluki,"Прилуки, Чернігівська область"
kharkov stepnaya,"Степова, Харківська область"
poltava mirgorod,"Миргород, Полтавська область"
kiev ukrainka,"Українка, Київська область"
ternopol chertkov,"Чортків, Тернопільська область"
lutsk kovel,"Ковель, Волинська область"
poltava lubny,"Лубни, Полтавська область"
kiev fastov,"Фастів, Київська область"
