Region,City,Location
ivano-frankovsk,sadzhava,Саджава
ivano-frankovsk,burshtyn,Бурштин
ivano-frankovsk,galich,Галич
ivano-frankovsk,burshtyn,Бурштин
ivano-frankovsk,kalush,Калуш
ivano-frankovsk,kalush,Калуш
ivano-frankovsk,bolekhov,Болехів
ivano-frankovsk,kalush,Калуш
ivano-frankovsk,ugly,Кути
ivano-frankovsk,dibrova_1377,Діброва
ivano-frankovsk,kalush,Калуш
ivano-frankovsk,tovmachik,Товмачик
vinnitsa,pogrebishche,Погребище
vinnitsa,gnivan,Гнівань
vinnitsa,oratov,Оратів
vinnitsa,vapnyarka,Вапнярка
vinnitsa,vendichany,Вендичани
vinnitsa,kryzhopol,Крижопіль
vinnitsa,zhmerinka,Жмеринка
vinnitsa,ilintsy,Іллінці
vinnitsa,yaryshevka_8043,Яришівка
vinnitsa,khmelnik,Хмільник
vinnitsa,teplik,Теплик
vinnitsa,bershad,Бершадь
vinnitsa,chernyatin_6291,Чернятин
vinnitsa,brailov,Браїлів
vinnitsa,kirnasovka,Кирнасівка
lutsk,novovolynsk,Нововолинськ
lutsk,novovolynsk,Нововолинськ
lutsk,novovolynsk,Нововолинськ
lutsk,lutsk,Луцьк
lutsk,lutsk,Луцьк
lutsk,novovolynsk,Нововолинськ
lutsk,kovel,Ковель
lutsk,turiysk,Турійськ
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,meliorativnoe,Меліоративне
dnepr,kamenskoe,Кам'янське
dnepr,krivoyrog,Кривий Ріг
dnepr,kamenskoe,Кам'янське
dnepr,kamenskoe,Кам'янське
dnepr,kamenskoe,Кам'янське
dnepr,dnepr,Дніпро
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,dnepr,Дніпро
dnepr,kamenskoe,Кам'янське
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,apostolovo,Апостолове
dnepr,kamenskoe,Кам'янське
dnepr,kamenskoe,Кам'янське
dnepr,kamenskoe,Кам'янське
dnepr,kamenskoe,Кам'янське
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,kamenskoe,Кам'янське
dnepr,kamenskoe,Кам'янське
dnepr,krivoyrog,Кривий Ріг
dnepr,pavlograd,Павлоград
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,kamenskoe,Кам'янське
dnepr,novotaromskoe_13353,Покров
dnepr,apostolovo,Апостолове
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,kamenskoe,Кам'янське
dnepr,kamenskoe,Кам'янське
dnepr,krivoyrog,Кривий Ріг
dnepr,dnepr,Дніпро
dnepr,pavlograd,Павлоград
dnepr,kurilovka_13611,Курилівка
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,kamenskoe,Кам'янське
dnepr,krivoyrog,Кривий Ріг
dnepr,kamenskoe,Кам'янське
dnepr,sinelnikovo,Синельникове
dnepr,kamenskoe,Кам'янське
dnepr,kamenskoe,Кам'янське
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,kamenskoe,Кам'янське
dnepr,kamenskoe,Кам'янське
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,kamenskoe,Кам'янське
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,novomoskovsk,Новомосковськ
dnepr,krivoyrog,Кривий Ріг
dnepr,novomoskovsk,Новомосковськ
dnepr,kamenskoe,Кам'янське
dnepr,krivoyrog,Кривий Ріг
dnepr,sinelnikovo,Синельникове
dnepr,kamenskoe,Кам'янське
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,kamenskoe,Кам'янське
dnepr,krivoyrog,Кривий Ріг
dnepr,krivoyrog,Кривий Ріг
dnepr,zhyeltye-vody,Жовті  Води
dnepr,krivoyrog,Кривий Ріг
dnepr,kamenskoe,Кам'янське
dnepr,kamenskoe,Кам'янське
dnepr,krivoyrog,Кривий Ріг
